时间,加速度
7,-14.7
7.01,-50.5
7.02,2.2
7.03,48.8
7.04,35.8
7.05,68.9
7.06,51.5
7.07,36.8
7.08,-8.8
7.09,-63.1
7.1,-83.9
7.11,-127.2
7.12,-138.4
7.13,-119
7.14,-74.7
7.15,-22.4
7.16,8.8
7.17,22.6
7.18,-7.4
7.19,-18
7.2,-54.2
7.21,-39.9
7.22,-4.5
7.23,8.2
7.24,18.4
7.25,2
7.26,-0.6
7.27,11.7
7.28,20.9
7.29,30.2
7.3,51.2
7.31,72.3
7.32,57.6
7.33,26.5
7.34,17.7
7.35,-4
7.36,-9.8
7.37,-13.6
7.38,-22
7.39,-43.6
7.4,-9.1
7.41,54.6
7.42,55.2
7.43,24.2
7.44,8.1
7.45,-24.9
7.46,-40.9
7.47,-18.1
7.48,2.7
7.49,24.2
7.5,1.5
7.51,-24.6
7.52,-48.1
7.53,-78.1
7.54,-62.1
7.55,-33
7.56,1.4
7.57,19.4
7.58,24.6
7.59,21.1
7.6,10.9
7.61,-5
7.62,-24
7.63,3.4
7.64,21.5
7.65,47.1
7.66,36.1
7.67,19.4
7.68,1.8
7.69,-16.9
7.7,8
7.71,-0.5
7.72,-22.9
7.73,-37.2
7.74,-60
7.75,-51.5
7.76,-43
7.77,-34.4
7.78,-50.5
7.79,-65.1
7.8,-68.2
7.81,-17.2
7.82,16.9
7.83,52.5
7.84,66.2
7.85,38.5
7.86,22.1
7.87,3.3
7.88,-11.9
7.89,12.8
7.9,35.1
7.91,51.2
7.92,33.4
7.93,21.7
7.94,1.2
7.95,-14.2
7.96,-7
7.97,6.3
7.98,12
7.99,32.1
8,34.4
8.01,9.1
8.02,-7.3
8.03,-30.8
8.04,-47.1
8.05,-60
8.06,-57.3
8.07,-32.9
8.08,7.3
8.09,77.4
8.1,60.7
8.11,43.6
8.12,20.8
8.13,-3.1
8.14,-34.8
8.15,-29.2
8.16,-12.1
8.17,-33.7
8.18,-31.6
8.19,-25.3
8.2,-20.5
8.21,-19.7
8.22,-17.3
8.23,-2.1
8.24,14.4
8.25,34.1
8.26,33.8
8.27,14.5
8.28,2.8
8.29,-16.9
8.3,9.6
8.31,25.4
8.32,27.8
8.33,38.5
8.34,24.1
8.35,21.4
8.36,18.1
8.37,17.3
8.38,3.8
8.39,2.7
8.4,18.4
8.41,12.2
8.42,-8.7
8.43,-34.1
8.44,-69.2
8.45,-90.7
8.46,-84.9
8.47,-75.7
8.48,-51.2
8.49,-18.6
8.5,-1.5
8.51,18.9
8.52,15
8.53,7.3
8.54,-2.1
8.55,-12.9
8.56,-21.4
8.57,-2.4
8.58,12.3
8.59,32.8
8.6,51.8
8.61,70.6
8.62,57.6
8.63,46
8.64,30.6
8.65,14.5
8.66,0.9
8.67,17.9
8.68,31.7
8.69,46.4
8.7,38.9
8.71,34.4
8.72,31.5
8.73,43.3
8.74,48.8
8.75,47.4
8.76,41.9
8.77,35.8
8.78,27.6
8.79,25.7
8.8,13.8
8.81,6.8
8.82,-50.5
8.83,-72
8.84,-87.6
8.85,-78.1
8.86,-76.4
8.87,-43.6
8.88,-8
8.89,-1.3
8.9,12.5
8.91,1.5
8.92,-3
8.93,-10.4
8.94,-10.4
8.95,-19.2
8.96,-20.4
8.97,-7.4
8.98,5.6
8.99,7.2
9,-7
9.01,-10.6
9.02,-14.7
9.03,0.9
9.04,15.9
9.05,18.6
9.06,0.7
9.07,-15.4
9.08,-10.5
9.09,11.5
9.1,30.1
9.11,30.8
9.12,9.5
9.13,5.8
9.14,-0.4
9.15,-2
9.16,-5
9.17,-5.7
9.18,-9.7
9.19,-13.4
9.2,-17.6
9.21,-21.7
9.22,-26
9.23,-30.1
9.24,-34.4
9.25,-38.5
9.26,-47.4
9.27,-39.2
9.28,-23.7
9.29,-11.5
9.3,7.9
9.31,12.3
9.32,-5.4
9.33,-2.7
9.34,24.9
9.35,56.3
9.36,62.7
9.37,59
9.38,41.3
9.39,6.8
9.4,-27.1
9.41,-27.6
9.42,2.1
9.43,6
9.44,10.9
9.45,22
9.46,41.6
9.47,51.8
9.48,22.1
9.49,-3
9.5,-7.9
9.51,-13.8
9.52,-17.1
9.53,-25.2
9.54,-32.2
